-86.27571905,41.65579834,2171,ENV-15-00417,Environmental,Grass and Weeds,5/6/2015,Closed,5/26/2015,71-08-13-403-017.000-026,707,W,DUBAIL,Ave,707 W DUBAIL AVE,SOUTH BEND,IN,46628
-86.27571905,41.65579834,2176,ENV-15-00425,Environmental,Grass and Weeds,5/6/2015,Notice Sent to Owner,5/6/2015,71-08-13-403-026.000-026,733,W,DUBAIL,Ave,733 W DUBAIL AVE,SOUTH BEND,IN,46628
-86.27532748,41.69242193,2245,ENV-15-00491,Environmental,Grass and Weeds,5/6/2015,Closed,5/20/2015,71-08-03-228-039.000-026,1313,,ADAMS,St,1313 ADAMS ST,SOUTH BEND,IN,46628
-86.27532977,41.69251257,2246,ENV-15-00492,Environmental,Grass and Weeds,5/6/2015,Closed,5/20/2015,71-08-03-228-038.000-026,1317,,ADAMS,St,1317 ADAMS ST,SOUTH BEND,IN,46628
-86.27533207,41.69260322,2247,ENV-15-00493,Environmental,Grass and Weeds,5/6/2015,Closed,5/20/2015,71-08-03-228-037.000-026,1321,,ADAMS,St,1321 ADAMS ST,SOUTH BEND,IN,46628
-86.29163729,41.68636794,2277,ENV-15-00521,Environmental,Grass and Weeds,5/7/2015,Crew Assigned for Clean-Up,6/24/2015,71-08-03-301-005.000-026,3018,W,PRAST,Blvd,3018 W PRAST BLVD,SOUTH BEND,IN,46628
-86.28898036,41.68553322,2280,ENV-15-00531,Environmental,Grass and Weeds,5/7/2015,Closed,8/11/2015,71-08-03-327-002.000-026,2730,,FREDRICKSON,St,2730 FREDRICKSON ST,SOUTH BEND,IN,46628
-86.28607355,41.69213124,2282,ENV-15-00534,Environmental,Grass and Weeds,5/7/2015,Closed,5/7/2015,71-08-03-132-002.000-026,1250,N,MEADE,St,1250 N MEADE ST,SOUTH BEND,IN,46628
-86.28883,41.68553322,2283,ENV-15-00541,Environmental,Grass and Weeds,5/7/2015,Abatement Complete,6/22/2015,71-08-03-327-003.000-026,2726,,FREDRICKSON,St,2726 FREDRICKSON ST,SOUTH BEND,IN,46628
-86.28967034,41.68553322,2284,ENV-15-00542,Environmental,Grass and Weeds,5/7/2015,Closed,8/11/2015,71-08-03-306-010.000-026,2806,,FREDRICKSON,St,2806 FREDRICKSON ST,SOUTH BEND,IN,46628
-86.29011091,41.68557751,2285,ENV-15-00543,Environmental,Grass and Weeds,5/7/2015,Closed,8/11/2015,71-08-03-305-018.000-026,2817,,FREDRICKSON,St,2817 FREDRICKSON ST,SOUTH BEND,IN,46628
-86.36397465,41.71951624,2286,ENV-15-00544,Environmental,Grass and Weeds,5/7/2015,Closed,6/3/2015,71-08-03-255-002.000-026,1014,N,Olive,St,,South Bend,Indiana,46628
-86.29025077,41.68552274,2289,ENV-15-00547,Environmental,Grass and Weeds,5/7/2015,Abatement Complete,6/22/2015,71-08-03-306-006.000-026,2902,,FREDRICKSON,St,2902 FREDRICKSON ST,SOUTH BEND,IN,46628
-86.26841318,41.65657462,2290,ENV-15-00548,Environmental,Grass and Weeds,5/7/2015,No Violation,6/16/2015,71-08-14-329-009.000-026,1618,S,WEBSTER,St,1618 S WEBSTER ST,SOUTH BEND,IN,46628
-86.28457534,41.6847645,2291,ENV-15-00551,Environmental,Grass and Weeds,5/7/2015,Abatement Complete,6/22/2015,71-08-03-329-022.000-026,2431,W,WESTMOOR,St,2431 W WESTMOOR ST,SOUTH BEND,IN,46628
-86.28496164,41.68563812,2292,ENV-15-00552,Environmental,Grass and Weeds,5/7/2015,Closed,8/12/2015,71-08-03-328-024.000-026,2429,,FREDRICKSON,St,2429 FREDRICKSON ST,SOUTH BEND,IN,46628
-86.28248025,41.67934781,2293,ENV-15-00553,Environmental,Grass and Weeds,5/7/2015,Abatement Complete,6/5/2015,71-08-03-455-012.000-026,2323,,LINDEN,Ave,2323 LINDEN AVE,SOUTH BEND,IN,46628
-86.28248025,41.67934781,2294,ENV-15-00554,Environmental,Grass and Weeds,5/7/2015,Closed,8/4/2015,71-08-03-455-013.000-026,2323,,LINDEN,Ave,2323 LINDEN AVE,SOUTH BEND,IN,46628
-86.28363062,41.6797336,2295,ENV-15-00555,Environmental,Grass and Weeds,5/7/2015,Closed,8/3/2015,71-08-03-388-007.000-026,2410,,LINDEN,Ave,2410 LINDEN AVE,SOUTH BEND,IN,46628
-86.28369123,41.6797336,2296,ENV-15-00556,Environmental,Grass and Weeds,5/7/2015,Abatement Complete,6/5/2015,71-08-03-388-006.000-026,2414,,LINDEN,Ave,2414 LINDEN AVE,SOUTH BEND,IN,46628
-86.28447096,41.6797977,2297,ENV-15-00557,Environmental,Grass and Weeds,5/7/2015,Closed,8/3/2015,71-08-03-387-011.000-026,2419,,LINDEN,Ave,2419 LINDEN AVE,SOUTH BEND,IN,46628
-86.2849698,41.67974292,2298,ENV-15-00558,Environmental,Grass and Weeds,5/7/2015,Crew Assigned for Clean-Up,6/17/2015,71-08-03-384-008.000-026,2502,,LINDEN,Ave,2502 LINDEN AVE,SOUTH BEND,IN,46628
-86.28503041,41.67974292,2299,ENV-15-00559,Environmental,Grass and Weeds,5/7/2015,Closed,8/3/2015,71-08-03-384-007.000-026,2506,,LINDEN,Ave,2506 LINDEN AVE,SOUTH BEND,IN,46628
